Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'ENVIRONMENTAL SCIENCES' Selected Category Scheme: WoS,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
127,INTERNATIONAL JOURNAL OF PHYTOREMEDIATION,"3,193",2.528,0.003110
128,VADOSE ZONE JOURNAL,"4,616",2.504,0.004650
129,ENVIRONMENTAL CONSERVATION,"3,579",2.434,0.001860
130,Clean Technologies and Environmental Policy,"3,500",2.429,0.004540
130,REVIEWS ON ENVIRONMENTAL HEALTH,"1,232",2.429,0.001180
132,AQUATIC SCIENCES,"2,938",2.402,0.003390
133,ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,"7,380",2.400,0.003580
133,Environmental Development,"1,151",2.400,0.001940
135,STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,"4,272",2.351,0.006810
136,JOURNAL OF CONTAMINANT HYDROLOGY,"5,190",2.347,0.003740
137,AEROSOL SCIENCE AND TECHNOLOGY,"7,301",2.340,0.005200
138,Estuaries and Coasts,"4,351",2.319,0.006760
139,Ecosystem Health and Sustainability,395,2.315,0.001410
140,HUMAN AND ECOLOGICAL RISK ASSESSMENT,"2,865",2.300,0.002510
141,ENVIRONMENT,"1,236",2.281,0.000740
142,JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION,"6,521",2.245,0.004260
143,ENVIRONMENTAL TECHNOLOGY,"7,947",2.213,0.006420
144,BioEnergy Research,"2,811",2.195,0.004480
145,ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,"2,211",2.191,0.002210
146,Microbial Risk Analysis,132,2.182,0.000320
147,Environmental Earth Sciences,"17,065",2.180,0.025340
148,Journal of Environmental Health Science and Engineering,"1,267",2.179,0.001950
149,JOURNAL OF ENVIRONMENTAL RADIOACTIVITY,"8,183",2.161,0.007930
150,Journal of Soil Science and Plant Nutrition,"1,682",2.156,0.001650
151,EcoHealth,"2,028",2.153,0.003380
152,JOURNAL OF ENVIRONMENTAL QUALITY,"15,508",2.142,0.006990
153,Journal of Hydro-environment Research,986,2.099,0.001520
154,Rangeland Ecology & Management,"2,409",2.095,0.002540
155,OZONE-SCIENCE & ENGINEERING,"1,829",2.082,0.000840
156,CHEMICAL SPECIATION AND BIOAVAILABILITY,716,2.077,0.000520
157,SAR AND QSAR IN ENVIRONMENTAL RESEARCH,"1,134",2.053,0.000980
158,CLIMATE RESEARCH,"5,063",2.023,0.003090
159,International Journal of Environmental Research,"1,569",2.007,0.001410
160,Environmental Progress & Sustainable Energy,"3,229",1.989,0.003840
161,Greenhouse Gases-Science and Technology,879,1.979,0.001700
162,Journal of Material Cycles and Waste Management,"2,137",1.974,0.002390
163,GEOMICROBIOLOGY JOURNAL,"2,903",1.972,0.002270
164,JOURNAL OF GREAT LAKES RESEARCH,"5,162",1.933,0.005540
165,International Journal of Mining Reclamation and Environment,501,1.917,0.000620
166,INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH,"1,403",1.916,0.001330
166,RIVER RESEARCH AND APPLICATIONS,"4,192",1.916,0.004820
168,Environmental Chemistry,"2,669",1.910,0.003130
169,ENVIRONMENTAL MONITORING AND ASSESSMENT,"20,930",1.903,0.018060
170,WATER AIR AND SOIL POLLUTION,"15,219",1.900,0.009170
171,Journal of Arid Land,"1,018",1.899,0.002060
172,Water Resources and Economics,246,1.875,0.000590
173,GAIA-Ecological Perspectives for Science and Society,813,1.870,0.000620
174,Local Environment,"2,107",1.856,0.002440
175,Chinese Geographical Science,"1,456",1.854,0.001470
176,Utilities Policy,"1,450",1.835,0.002330
177,JOURNAL OF ARID ENVIRONMENTS,"8,956",1.830,0.004880
178,JOURNAL OF HEALTH POPULATION AND NUTRITION,"2,027",1.821,0.002200
179,ARCTIC ANTARCTIC AND ALPINE RESEARCH,"3,112",1.784,0.002240
180,WETLANDS,"4,883",1.783,0.004080
181,Archives of Environmental Protection,591,1.775,0.000650
182,JOURNAL OF HYDROINFORMATICS,"1,608",1.728,0.001720
183,BIOREMEDIATION JOURNAL,501,1.724,0.000280
183,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,"4,965",1.724,0.002780
185,HUMAN DIMENSIONS OF WILDLIFE,"1,336",1.723,0.001130
186,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART B-PESTICIDES FOOD CONTAMINANTS AND AGRICULTURAL WASTES,"2,487",1.697,0.001920
187,Carbon Management,856,1.667,0.001240
188,BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,"8,168",1.657,0.004620
189,JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL HYGIENE,"2,032",1.653,0.002590
190,ISOTOPES IN ENVIRONMENTAL AND HEALTH STUDIES,990,1.652,0.001260
191,Ecological Processes,535,1.642,0.000780
192,Arctic Science,173,1.640,0.000620
193,JOURNAL OF PALEOLIMNOLOGY,"3,554",1.639,0.001930
194,WATER SCIENCE AND TECHNOLOGY,"20,937",1.638,0.009930
195,ENVIRONMENTAL MODELING & ASSESSMENT,"1,040",1.634,0.000860
196,ENVIRONMENTAL ENGINEERING SCIENCE,"2,819",1.610,0.002570
197,CLEAN-Soil Air Water,"3,263",1.603,0.002980
198,JOURNAL OF HYDROLOGIC ENGINEERING,"4,982",1.594,0.004640
199,WEB ECOLOGY,168,1.560,0.000200
200,Journal of Mountain Science,"2,228",1.550,0.003360
201,COASTAL MANAGEMENT,991,1.547,0.001090
202,ARCTIC,"1,861",1.540,0.001260
203,JOURNAL OF ATMOSPHERIC CHEMISTRY,"1,734",1.521,0.000780
204,ENVIRONMENTAL FLUID MECHANICS,"1,185",1.512,0.001910
205,MOUNTAIN RESEARCH AND DEVELOPMENT,"2,078",1.494,0.001220
206,Ecological Chemistry and Engineering S-Chemia I Inzynieria Ekologiczna S,597,1.488,0.000430
207,INDUSTRIAL HEALTH,"2,202",1.471,0.001410
208,JOURNAL OF AGRICULTURAL & ENVIRONMENTAL ETHICS,"1,399",1.464,0.001390
209,Environmental Engineering Research,720,1.438,0.000770
210,NATURAL RESOURCES FORUM,986,1.436,0.000540
211,PHYSICAL GEOGRAPHY,"1,127",1.435,0.000670
212,SOIL SCIENCE AND PLANT NUTRITION,"3,365",1.432,0.001940
213,INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY,"2,079",1.431,0.001330
214,WATER AND ENVIRONMENT JOURNAL,962,1.426,0.000940
215,ANTARCTIC SCIENCE,"2,058",1.417,0.001740
216,CHEMISTRY AND ECOLOGY,"1,275",1.400,0.000980
217,POLISH JOURNAL OF ENVIRONMENTAL STUDIES,"4,745",1.383,0.003280
218,JOURNAL OF COASTAL CONSERVATION,"1,187",1.374,0.001220
219,Journal of Applied Remote Sensing,"2,753",1.360,0.004470
220,JOURNAL OF WATER AND HEALTH,"2,099",1.349,0.002080
221,Mires and Peat,508,1.328,0.000770
222,RADIATION AND ENVIRONMENTAL BIOPHYSICS,"1,332",1.321,0.001330
223,BIOTECHNOLOGIE AGRONOMIE SOCIETE ET ENVIRONNEMENT,656,1.319,0.000690
224,AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,443,1.310,0.000670
225,Carpathian Journal of Earth and Environmental Sciences,612,1.307,0.000620
226,JOURNAL OF ENVIRONMENTAL ENGINEERING,"5,464",1.264,0.002370
227,JOURNAL OF RADIOLOGICAL PROTECTION,"1,230",1.261,0.002200
228,SOIL & SEDIMENT CONTAMINATION,"1,113",1.250,0.000790
229,WETLANDS ECOLOGY AND MANAGEMENT,"1,916",1.221,0.001690
230,Italian Journal of Agrometeorology-Rivista Italiana di Agrometeorologia,136,1.182,0.000120
231,Archives of Environmental & Occupational Health,"2,004",1.180,0.001000
232,WATER ENVIRONMENT RESEARCH,"3,120",1.151,0.001540
233,ARID LAND RESEARCH AND MANAGEMENT,591,1.148,0.000550
234,BOREAL ENVIRONMENT RESEARCH,"1,211",1.100,0.001070
235,TOXICOLOGICAL AND ENVIRONMENTAL CHEMISTRY,"1,675",1.050,0.001170
236,ENVIRONMETRICS,"1,843",1.039,0.002210
237,Journal of the Indian Society of Remote Sensing,"1,302",0.997,0.001330
238,Global NEST Journal,967,0.983,0.000790
239,ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE,"1,990",0.982,0.002370
240,ENVIRONMENTAL AND ECOLOGICAL STATISTICS,805,0.981,0.000940
241,NATURAL RESOURCE MODELING,451,0.915,0.000360
242,Water Science and Technology-Water Supply,"1,296",0.900,0.001550
243,HEALTH PHYSICS,"4,251",0.853,0.002060
244,POLAR RECORD,625,0.840,0.000610
245,Rocznik Ochrona Srodowiska,669,0.804,0.000350
246,JOURNAL OF COASTAL RESEARCH,"9,405",0.793,0.005820
247,JOURNAL OF ENVIRONMENTAL HEALTH,925,0.784,0.001020
248,International Journal of Global Warming,402,0.782,0.000400
249,JOURNAL OF ENVIRONMENTAL BIOLOGY,"2,396",0.781,0.001290
250,RADIATION PROTECTION DOSIMETRY,"5,477",0.773,0.004820
251,AQUATIC ECOSYSTEM HEALTH & MANAGEMENT,860,0.761,0.000780
252,ENVIRONMENTAL FORENSICS,645,0.726,0.000410
253,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,"1,394",0.712,0.001660
254,Journal of Elementology,698,0.710,0.000740
255,Journal of Environmental Protection and Ecology,"1,026",0.692,0.000520
256,BIOLOGY AND ENVIRONMENT-PROCEEDINGS OF THE ROYAL IRISH ACADEMY,304,0.654,0.000190
257,Grundwasser,151,0.595,0.000180
258,FRESENIUS ENVIRONMENTAL BULLETIN,"3,646",0.553,0.002290
259,RADIOPROTECTION,322,0.541,0.000260
260,INTERNATIONAL JOURNAL OF ENVIRONMENT AND POLLUTION,833,0.540,0.000280
261,Revista Internacional de Contaminacion Ambiental,426,0.521,0.000320
262,Journal of Environmental Science and Management,130,0.420,0.000120
263,Annali di Botanica,113,0.412,0.000110
264,GEFAHRSTOFFE REINHALTUNG DER LUFT,194,0.368,0.000140
265,Environmental Pollutants and Bioavailability,3,Not Available,0.000000
Copyright © 2020 Clarivate Analytics,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,
