"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'GEOSCIENCES, MULTIDISCIPLINARY' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
132,JOURNAL OF PALEOLIMNOLOGY,"3,554",1.639,0.001930
133,Italian Journal of Geosciences,568,1.625,0.001030
134,Frontiers of Earth Science,772,1.620,0.001380
135,GEODINAMICA ACTA,903,1.607,0.000450
136,JOURNAL OF AFRICAN EARTH SCIENCES,"6,520",1.603,0.006040
137,GEOLOGICAL JOURNAL,"2,607",1.595,0.003120
138,Archaeological Prospection,758,1.579,0.000430
139,Swiss Journal of Geosciences,654,1.577,0.000890
140,NONLINEAR PROCESSES IN GEOPHYSICS,"1,911",1.558,0.001950
141,GEOLOGICA CARPATHICA,"1,201",1.535,0.000950
142,ARCHAEOMETRY,"3,224",1.519,0.001950
143,CLAYS AND CLAY MINERALS,"5,382",1.507,0.001010
144,BULLETIN DE LA SOCIETE GEOLOGIQUE DE FRANCE,"2,395",1.500,0.000600
145,AUSTRALIAN JOURNAL OF EARTH SCIENCES,"2,889",1.492,0.001800
146,ANNALES GEOPHYSICAE,"5,513",1.490,0.004490
147,ENVIRONMENTAL ARCHAEOLOGY,504,1.475,0.000780
148,Earth Science Informatics,503,1.450,0.001000
149,PHYSICAL GEOGRAPHY,"1,127",1.435,0.000670
150,GEO-MARINE LETTERS,"1,764",1.429,0.001210
151,Journal of Earth System Science,"2,401",1.423,0.002880
152,ANTARCTIC SCIENCE,"2,058",1.417,0.001740
153,Geofizika,212,1.400,0.000160
154,EPISODES,"2,306",1.393,0.000890
155,Polar Science,608,1.389,0.001200
156,PETROLEUM GEOSCIENCE,"1,309",1.377,0.001020
157,TURKISH JOURNAL OF EARTH SCIENCES,984,1.362,0.000800
158,CLAY MINERALS,"3,000",1.361,0.001200
159,Arabian Journal of Geosciences,"6,325",1.327,0.011150
160,GEOTECHNICAL TESTING JOURNAL,"2,650",1.289,0.002370
161,BULLETIN OF GEOSCIENCES,692,1.283,0.000850
162,PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING,"7,000",1.265,0.003350
163,CANADIAN JOURNAL OF EARTH SCIENCES,"6,339",1.201,0.002300
164,Geoscientific Instrumentation Methods and Data Systems,337,1.182,0.000900
165,Acta Montanistica Slovaca,408,1.181,0.000200
166,POLAR RESEARCH,"1,577",1.127,0.001490
167,BULLETIN OF THE GEOLOGICAL SOCIETY OF DENMARK,492,1.120,0.000180
168,POLISH POLAR RESEARCH,738,1.065,0.000500
169,ZEITSCHRIFT FUR GEOMORPHOLOGIE,"1,391",1.063,0.000780
170,Russian Geology and Geophysics,"3,066",1.061,0.002710
171,NEW ZEALAND JOURNAL OF GEOLOGY AND GEOPHYSICS,"2,223",1.055,0.001270
172,Brazilian Journal of Geology,424,1.046,0.001110
173,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-GEOTECHNICAL ENGINEERING,899,1.000,0.000870
174,Open Geosciences,290,0.985,0.000620
175,REVISTA MEXICANA DE CIENCIAS GEOLOGICAS,774,0.929,0.000510
176,NORWEGIAN JOURNAL OF GEOLOGY,"1,088",0.915,0.000490
177,Geochronometria,551,0.902,0.000700
178,JOURNAL OF THE GEOLOGICAL SOCIETY OF INDIA,"3,096",0.899,0.001460
179,GEOSCIENCE CANADA,589,0.870,0.000550
180,ACTA CARSOLOGICA,512,0.806,0.000570
181,JOURNAL OF COLD REGIONS ENGINEERING,346,0.800,0.000220
182,JOURNAL OF COASTAL RESEARCH,"9,405",0.793,0.005820
183,Geomorphologie-Relief Processus Environnement,357,0.775,0.000270
